time (UTC),depth,latitude,longitude,temperature,salinity,PAR,timeseries_id,Instrument_Identifier,salinity_f35
2014-10-03 18:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6378,32.1222,0.10207100000000001,14ckp7a_sc_0039m,SBE39,32.332254107733846
2014-10-03 19:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6358,32.1235,0.011493000000000001,14ckp7a_sc_0039m,SBE39,32.3033781399293
2014-10-03 20:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6342,32.1249,0.013012000000000001,14ckp7a_sc_0039m,SBE39,32.27516556038835
2014-10-03 21:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6333,32.1285,0.015047999999999999,14ckp7a_sc_0039m,SBE39,32.24803107502002
2014-10-03 22:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6375,32.1306,0.01408,14ckp7a_sc_0039m,SBE39,32.222338729638345
2014-10-03 23:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6432,32.1334,0.017838999999999997,14ckp7a_sc_0039m,SBE39,32.198417100558245
2014-10-04 00:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6459999999999999,32.1338,0.01294,14ckp7a_sc_0039m,SBE39,32.1765472574041
2014-10-04 01:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6515,32.1353,0.014116,14ckp7a_sc_0039m,SBE39,32.15693608066798
2014-10-04 02:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6564,32.1364,0.0147,14ckp7a_sc_0039m,SBE39,32.13974578992117
2014-10-04 03:00:00+00:00,39.0,72.42458,198.37933349609372,-0.659,32.1372,0.015675,14ckp7a_sc_0039m,SBE39,32.12507154114816
2014-10-04 04:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6603,32.1385,0.01705,14ckp7a_sc_0039m,SBE39,32.11298700126427
2014-10-04 05:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6588,32.1395,0.014993000000000001,14ckp7a_sc_0039m,SBE39,32.103471630927814
2014-10-04 06:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6513,32.1407,0.012581,14ckp7a_sc_0039m,SBE39,32.09644798721668
2014-10-04 07:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6511,32.1409,0.01208,14ckp7a_sc_0039m,SBE39,32.091804463611666
2014-10-04 08:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6551,32.1411,0.013535,14ckp7a_sc_0039m,SBE39,32.089358441384334
2014-10-04 09:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6571,32.141,0.01267,14ckp7a_sc_0039m,SBE39,32.08891080384922
2014-10-04 10:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6584,32.1409,0.012958,14ckp7a_sc_0039m,SBE39,32.09020615631583
2014-10-04 11:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6597,32.1403,0.012958,14ckp7a_sc_0039m,SBE39,32.09302164050795
2014-10-04 12:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6595,32.1397,0.01549,14ckp7a_sc_0039m,SBE39,32.097085881074335
2014-10-04 13:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6591,32.1393,0.016565,14ckp7a_sc_0039m,SBE39,32.102125891015
2014-10-04 14:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6579,32.1374,0.0147,14ckp7a_sc_0039m,SBE39,32.10782746351202
2014-10-04 15:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6579999999999999,32.1379,0.014681999999999999,14ckp7a_sc_0039m,SBE39,32.11395847629284
2014-10-04 16:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6579999999999999,32.1383,0.014718,14ckp7a_sc_0039m,SBE39,32.120267500704266
2014-10-04 17:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6574,32.1388,0.013246,14ckp7a_sc_0039m,SBE39,32.126498870137894
2014-10-04 18:00:00+00:00,39.0,72.42458,198.37933349609372,-0.657,32.1391,0.016453,14ckp7a_sc_0039m,SBE39,32.13246548682106
2014-10-04 19:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6558,32.1401,0.017557,14ckp7a_sc_0039m,SBE39,32.137989164940215
2014-10-04 20:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6574,32.1404,0.016751,14ckp7a_sc_0039m,SBE39,32.142948159289055
2014-10-04 21:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6579999999999999,32.1399,0.018881000000000002,14ckp7a_sc_0039m,SBE39,32.14723177510098
2014-10-04 22:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6585,32.1392,0.019301,14ckp7a_sc_0039m,SBE39,32.150787545077044
2014-10-04 23:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6578,32.1376,0.013771,14ckp7a_sc_0039m,SBE39,32.15354624127479
2014-10-05 00:00:00+00:00,39.0,72.42458,198.37933349609372,-0.657,32.1375,0.016453,14ckp7a_sc_0039m,SBE39,32.155543817420536
2014-10-05 01:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6519,32.1352,0.011759,14ckp7a_sc_0039m,SBE39,32.1567438130605
2014-10-05 02:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6456,32.1337,0.012044,14ckp7a_sc_0039m,SBE39,32.1572402027813
2014-10-05 03:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6433,32.1326,0.014134,14ckp7a_sc_0039m,SBE39,32.15712202993482
2014-10-05 04:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6415,32.1324,0.013897999999999999,14ckp7a_sc_0039m,SBE39,32.15645109138076
2014-10-05 05:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6409999999999999,32.1325,0.011564,14ckp7a_sc_0039m,SBE39,32.155345103198954
2014-10-05 06:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6409,32.1327,0.013771,14ckp7a_sc_0039m,SBE39,32.15392877342086
2014-10-05 07:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6424,32.1337,0.015012000000000001,14ckp7a_sc_0039m,SBE39,32.15233929075293
2014-10-05 08:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6425,32.1347,0.013499,14ckp7a_sc_0039m,SBE39,32.150701406799364
2014-10-05 09:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6432,32.1347,0.011599,14ckp7a_sc_0039m,SBE39,32.14914256852493
2014-10-05 10:00:00+00:00,39.0,72.42458,198.37933349609372,-0.6459999999999999,32.1353,0.011457,14ckp7a_sc_0039m,SBE39,32.14776511281971
2014-10-05 11:00:00+00:00,39.0,72.42458,198.37933349609372,-0.648,32.1359,0.016082,14ckp7a_sc_0039m,SBE39,32.14667776130121
