shipNo,date-min,date-max,obs-count
0,7/9/45 13:00,5/29/51 15:00,534
1,3/1/45 6:00,12/31/45 16:00,2910
4,5/18/45 12:00,6/27/48 0:00,3908
5,8/9/45 19:00,11/11/45 14:00,469
6,4/7/45 9:00,1/16/46 18:00,1893
9,6/13/34 6:00,5/24/51 12:00,6614
10,9/1/45 6:00,12/23/45 8:00,990
11,4/15/46 9:00,8/27/46 9:00,559
16,6/1/45 7:00,4/13/46 16:00,1980
19,11/26/45 8:00,3/23/51 15:00,10831
20,7/26/45 5:00,5/6/51 13:00,10614
21,8/1/45 1:00,5/31/51 22:00,8193
28,5/9/45 13:00,11/30/45 16:00,1898
29,5/9/45 8:00,3/15/46 11:00,2329
30,4/27/45 6:00,10/20/45 13:00,144
33,3/20/45 18:00,12/11/45 12:00,3323
34,12/16/44 20:00,1/16/46 14:00,3419
35,1/18/45 1:00,5/31/51 23:00,6789
36,8/10/45 6:00,1/22/46 16:00,986
37,4/1/46 8:00,7/31/46 16:00,986
38,5/14/45 9:00,6/1/51 0:00,14854
39,6/2/45 18:00,7/14/45 12:00,29
40,11/6/45 20:00,11/22/45 15:00,35
41,5/15/45 15:00,1/18/46 10:00,1560
42,10/1/45 8:00,11/30/45 16:00,290
43,3/9/45 10:00,3/28/45 14:00,128
46,4/1/45 0:00,12/31/45 7:00,2959
47,6/25/47 8:00,12/8/50 3:00,271
49,7/1/45 6:00,10/3/50 18:00,4380
51,1/8/51 10:00,5/16/51 16:00,120
53,4/1/45 18:00,10/31/45 20:00,2144
54,4/1/45 5:00,3/31/46 18:00,2531
55,4/1/45 7:00,12/14/45 18:00,454
57,6/1/45 8:00,10/31/45 18:00,1023
58,10/24/45 6:00,1/29/46 10:00,37
60,3/5/45 9:00,11/29/45 16:00,959
63,8/1/45 8:00,8/31/45 16:00,182
64,4/1/45 4:00,12/31/45 18:00,2746
69,9/13/45 9:00,9/30/45 17:00,45
77,5/22/50 9:00,5/26/50 7:00,16
78,5/1/45 8:00,12/17/45 11:00,637
79,9/7/45 6:00,10/26/45 7:00,483
80,4/15/45 8:00,5/31/51 23:00,8301
81,4/3/45 14:00,1/28/46 14:00,3527
82,6/3/45 15:00,10/29/45 18:00,799
83,5/21/45 16:00,1/27/46 15:00,1979
84,4/1/45 1:00,1/11/46 16:00,2839
85,3/1/45 1:00,5/4/46 16:00,2283
87,3/13/47 1:00,4/9/47 0:00,507
88,4/20/45 8:00,10/31/50 23:00,4590
93,7/16/47 2:00,7/31/50 23:00,4881
94,5/3/45 8:00,11/29/45 12:00,1176
96,9/1/45 0:00,5/27/51 23:00,1008
99,5/21/46 12:00,1/8/47 9:00,199
100,8/16/45 8:00,9/30/45 18:00,409
101,5/7/47 11:00,11/17/47 7:00,369
105,1/9/46 0:00,5/17/51 12:00,13224
106,4/16/37 3:00,4/16/37 3:00,1
107,8/1/47 10:00,11/30/47 18:00,230
108,8/3/47 7:00,8/3/47 7:00,1
110,1/21/47 8:00,11/30/48 18:00,2910
112,3/1/45 7:00,11/30/45 17:00,1955
115,7/2/45 7:00,10/30/45 15:00,530
116,3/21/45 14:00,3/31/45 17:00,27
117,3/1/45 1:00,8/22/45 15:00,2882
119,6/12/45 3:00,6/12/45 3:00,1
121,4/1/45 1:00,11/30/45 21:00,2095
122,5/31/45 9:00,1/24/46 13:00,3598
125,3/17/47 7:00,4/15/47 13:00,280
127,4/18/45 6:00,8/31/45 17:00,910
128,3/1/45 8:00,1/29/46 18:00,2723
129,6/1/45 0:00,1/1/46 0:00,2411
131,5/20/47 13:00,11/13/47 22:00,419
132,12/2/45 8:00,12/21/45 17:00,163
134,7/1/45 8:00,1/28/46 7:00,1879
136,2/20/45 10:00,12/18/45 16:00,3671
137,2/24/47 8:00,4/25/47 16:00,595
140,7/1/45 8:00,1/28/46 18:00,1336
142,5/1/45 8:00,12/28/45 12:00,2548
143,4/19/46 10:00,8/22/49 7:00,6572
146,7/21/45 12:00,10/16/45 9:00,557
148,6/8/45 8:00,1/11/46 18:00,1841
149,6/1/45 2:00,5/31/51 16:00,2264
150,10/1/45 7:00,1/31/46 18:00,820
153,6/23/45 7:00,1/19/46 9:00,1608
154,8/3/45 8:00,12/29/45 18:00,959
158,6/1/45 4:00,12/19/45 9:00,3231
159,9/16/46 15:00,2/25/51 8:00,17750
161,3/1/45 6:00,1/3/46 18:00,2629
164,11/10/45 19:00,11/21/45 16:00,28
165,6/1/45 3:00,9/27/45 18:00,1168
166,7/8/45 6:00,11/29/45 14:00,678
167,6/1/45 6:00,8/2/50 20:00,1710
169,5/1/45 8:00,1/31/46 18:00,1936
171,3/3/45 12:00,1/28/46 18:00,2432
172,6/21/45 0:00,9/7/45 20:00,271
175,10/20/45 10:00,5/31/51 18:00,15561
177,12/13/45 11:00,2/21/51 7:00,10793
179,4/1/45 7:00,12/13/45 15:00,1322
180,8/6/47 11:00,9/20/49 14:00,2963
181,4/1/45 1:00,5/31/51 18:00,4134
183,10/1/47 7:00,7/13/49 10:00,2651
184,10/19/47 0:00,11/18/50 18:00,1995
185,4/9/45 18:00,1/31/46 17:00,3397
188,6/1/45 8:00,5/14/46 18:00,2523
189,5/1/45 0:00,1/19/46 18:00,2613
190,8/21/45 8:00,8/31/45 18:00,109
191,5/1/45 7:00,1/24/46 16:00,2055
192,7/16/47 8:00,8/27/47 17:00,389
193,10/13/45 1:00,10/13/45 1:00,1
201,7/9/46 1:00,5/31/51 17:00,5469
202,3/18/47 13:00,8/31/47 23:00,127
204,9/18/45 4:00,9/18/45 4:00,1
207,5/5/45 12:00,9/17/45 11:00,588
209,1/28/46 10:00,5/23/51 10:00,9625
216,6/22/45 0:00,7/31/45 21:00,49
217,9/23/46 9:00,5/31/51 23:00,16939
218,5/14/47 18:00,7/31/47 22:00,567
219,5/14/45 6:00,5/31/51 23:00,7209
222,4/24/45 10:00,12/5/45 8:00,216
223,4/1/46 6:00,11/21/46 13:00,2057
231,4/21/45 18:00,5/19/10 11:00,1054
233,1/8/46 12:00,11/19/01 1:00,11108
234,4/6/45 9:00,2/25/46 16:00,2361
236,10/4/45 4:00,12/24/45 10:00,26
237,11/10/45 10:00,4/30/46 18:00,968
240,8/17/45 12:00,5/10/46 22:00,921
242,8/23/45 13:00,8/25/47 16:00,3066
243,3/3/45 0:00,8/29/46 16:00,3398
245,4/4/45 13:00,4/30/51 9:00,1770
246,9/19/46 8:00,5/31/51 17:00,5167
251,4/1/45 8:00,2/17/46 17:00,2173
252,8/1/45 15:00,2/26/46 18:00,1770
253,7/20/45 7:00,12/31/45 16:00,1281
254,9/22/45 8:00,5/24/46 9:00,1510
255,9/4/46 8:00,6/1/51 0:00,10595
257,6/2/45 9:00,3/31/47 18:00,1591
258,2/6/46 8:00,5/29/51 15:00,8496
259,8/2/45 8:00,8/31/45 17:00,241
262,4/1/45 1:00,1/31/46 18:00,3446
263,7/1/45 10:00,1/31/46 18:00,1124
264,4/14/45 8:00,8/7/45 16:00,560
265,8/1/45 0:00,1/1/46 0:00,2083
266,3/3/45 8:00,1/14/46 13:00,2275
267,7/9/47 12:00,8/14/50 0:00,945
268,10/2/45 19:00,12/30/45 19:00,675
269,6/1/45 1:00,1/25/46 21:00,3062
270,4/1/45 1:00,6/21/47 14:00,6213
271,8/1/45 16:00,1/29/46 20:00,947
272,6/1/45 6:00,5/23/51 9:00,7468
273,4/2/46 9:00,5/31/51 10:00,11386
275,7/1/45 6:00,5/2/46 17:00,2132
276,3/1/45 6:00,4/3/46 11:00,2575
277,2/23/50 16:00,2/23/50 16:00,1
279,10/1/45 6:00,1/29/46 18:00,1054
283,6/1/45 6:00,11/15/45 18:00,1061
284,2/20/47 9:00,5/23/51 11:00,3246
285,8/1/45 7:00,12/31/45 18:00,1072
287,3/1/46 4:00,5/22/51 11:00,7368
288,8/10/35 0:00,8/10/35 0:00,1
290,4/4/45 9:00,2/1/46 16:00,2569
292,5/1/45 1:00,1/21/46 9:00,4023
293,8/2/45 20:00,9/29/45 22:00,273
295,6/6/45 17:00,2/1/46 18:00,2383
296,9/4/45 14:00,2/3/46 18:00,1121
297,5/22/45 10:00,11/26/45 16:00,688
298,1/4/47 19:00,4/18/51 8:00,14200
299,4/18/45 9:00,1/30/46 14:00,2419
301,5/21/45 0:00,2/18/46 13:00,2423
303,6/9/45 12:00,1/5/46 9:00,2883
305,11/2/45 6:00,2/26/46 15:00,661
306,7/5/46 0:00,8/6/47 10:00,1087
307,6/1/45 6:00,6/19/01 16:00,2028
308,3/18/47 9:00,4/24/51 8:00,7101
309,7/16/47 13:00,9/2/48 14:00,833
311,6/1/45 0:00,12/31/45 18:00,3126
313,2/5/48 0:00,2/16/48 22:00,22
314,2/5/48 0:00,7/25/48 20:00,192
316,7/6/48 7:00,8/24/48 8:00,753
317,7/7/48 16:00,9/24/48 8:00,1369
318,10/23/48 16:00,10/28/48 18:00,23
319,10/5/48 8:00,5/30/51 16:00,539
320,7/15/48 15:00,9/19/48 8:00,924
321,2/4/49 1:00,4/30/51 2:00,2133
323,1/15/45 1:00,5/31/45 0:00,1349
324,11/1/48 2:00,6/26/49 21:00,897
325,5/1/45 8:00,9/18/45 13:00,1640
327,9/1/45 1:00,10/5/45 11:00,370
328,11/6/45 8:00,2/1/51 0:00,5734
330,8/28/50 18:00,6/1/51 0:00,5622
331,5/15/45 10:00,11/30/45 18:00,614
332,5/7/45 19:00,6/28/45 13:00,593
333,5/1/45 1:00,6/19/45 21:00,167
334,3/13/45 8:00,11/5/45 23:00,1652
335,3/15/45 8:00,7/30/45 13:00,937
336,2/2/45 1:00,6/1/51 0:00,3475
337,5/9/45 9:00,5/31/51 23:00,1624
338,6/25/45 16:00,11/1/45 0:00,1321
339,6/1/45 1:00,9/26/45 13:00,1603
340,6/26/45 0:00,1/31/48 23:00,20505
341,12/15/45 19:00,7/31/47 23:00,12053
342,11/14/46 19:00,8/31/49 23:00,21282
343,7/25/46 1:00,7/31/47 23:00,6655
344,5/15/47 2:00,10/30/49 23:00,22344
345,1/24/47 22:00,1/31/48 23:00,4487
346,8/30/46 13:00,6/20/47 23:00,132
347,11/20/45 0:00,8/26/47 18:00,218
348,10/20/45 1:00,8/26/46 3:00,155
349,11/5/45 19:00,7/20/47 9:00,436
350,11/22/45 17:00,5/17/47 4:00,117
351,11/24/46 12:00,7/10/47 7:00,106
352,12/13/45 17:00,9/3/47 5:00,646
353,9/9/46 1:00,12/14/47 13:00,803
354,6/2/45 19:00,12/28/48 1:00,1756
355,6/26/46 23:00,2/27/48 19:00,695
356,9/20/46 8:00,2/8/48 0:00,282
357,9/26/45 8:00,9/16/49 7:00,2841
358,10/22/45 19:00,12/26/47 6:00,1059
359,12/28/45 4:00,10/1/46 19:00,436
360,7/28/46 5:00,10/5/49 3:00,2393
361,12/20/45 18:00,3/8/49 5:00,884
362,5/23/45 19:00,1/16/48 0:00,438
363,9/9/45 0:00,3/6/49 12:00,1905
364,6/19/45 18:00,7/23/49 21:00,1352
365,8/10/45 20:00,9/28/49 12:00,3287
366,5/1/46 1:00,7/4/49 18:00,3524
367,11/23/45 9:00,8/6/49 11:00,2603
368,12/12/45 6:00,10/7/49 13:00,2563
370,8/30/45 0:00,10/8/45 6:00,235
371,8/19/45 8:00,9/11/45 23:00,566
373,9/29/45 20:00,7/20/47 21:00,9702
374,9/11/45 18:00,9/29/45 15:00,143
376,5/18/45 12:00,9/26/45 22:00,576
377,6/5/45 18:00,9/24/45 18:00,946
378,4/1/45 1:00,7/1/45 0:00,2135
379,6/1/45 0:00,4/1/46 0:00,7831
380,12/1/45 0:00,1/31/46 22:00,1024
381,5/1/45 0:00,8/19/47 7:00,11632
382,6/18/45 21:00,2/28/46 23:00,3801
383,6/20/45 11:00,8/30/47 23:00,8274
384,2/1/46 0:00,7/31/47 22:00,5984
386,1/25/45 15:00,4/15/46 23:00,4666
387,7/1/45 1:00,2/28/46 22:00,1834
388,3/1/45 1:00,6/30/46 21:00,4082
389,4/8/45 0:00,4/30/46 23:00,9120
390,9/1/45 0:00,8/17/47 0:00,8592
391,11/1/45 0:00,2/28/46 22:00,2055
392,8/1/45 5:00,2/28/46 21:00,1987
393,6/1/45 0:00,8/5/46 7:00,8106
