shipNo,octant,latitude,longitude,year,month,day,hour,pressure,drybulbF,watertempF,wetbulbF,dewpointF,datetime
  0,1,1,1,1,1,1,1,1,1,1,1,1,1
  1,1,1,1,1,1,1,1,1,1,1,0,0,1
  6,1,1,1,1,1,1,1,1,1,1,1,1,1
  8,1,1,1,1,1,1,1,1,1,0,1,1,1
 00,1,1,1,1,1,1,1,1,1,1,1,0,1
 03,1,1,1,1,1,1,1,1,1,1,1,1,1
 05,1,1,1,1,1,1,1,1,1,1,1,0,1
 10,1,1,1,1,1,1,1,1,1,1,1,0,1
 17,1,1,1,1,1,1,1,1,1,1,1,1,1
 29,2,2,2,2,2,2,2,2,2,2,2,1,2
 35,1,1,1,1,1,1,1,1,1,1,1,0,1
 38,1,1,1,1,1,1,1,0,1,1,1,0,1
 58,1,1,1,1,1,1,1,1,1,1,1,0,1
 65,1,1,1,1,1,1,1,1,1,1,1,0,1
 70,1,1,1,1,1,1,1,1,1,1,1,0,1
 77,17,17,17,17,17,17,17,17,16,12,15,2,16
 88,1,1,1,1,1,1,1,1,1,1,1,0,1
 92,1,1,1,1,1,1,1,1,1,1,1,0,0
000,534,534,534,534,534,534,534,528,534,447,534,86,534
001,2918,2918,2918,2918,2918,2918,2918,2916,2918,2890,2918,428,2910
004,3933,3933,3933,3933,3933,3933,3933,3929,3932,3813,3828,631,3908
005,469,469,469,469,469,469,469,469,469,27,469,82,469
006,1896,1896,1896,1896,1896,1896,1896,1896,1879,1771,1879,34,1893
009,6669,6669,6669,6669,6669,6669,6669,6617,6665,3390,6666,890,6614
010,990,990,990,990,990,990,990,921,990,989,990,144,990
011,559,559,559,559,559,559,559,559,559,532,559,97,559
016,1981,1981,1981,1981,1981,1981,1981,1980,1981,1950,1981,348,1980
019,10834,10834,10833,10834,10834,10834,10834,10790,10810,9807,10779,1542,10831
020,10617,10617,10617,10617,10617,10617,10617,10396,10556,8383,10368,1272,10614
021,8195,8195,8195,8195,8195,8195,8195,8129,8195,5911,8187,843,8193
028,1899,1899,1899,1899,1899,1899,1899,1876,1899,1897,1899,24,1898
029,2330,2330,2330,2330,2330,2330,2330,2322,2330,2330,2330,355,2329
030,144,144,144,144,144,144,144,143,144,144,144,70,144
033,3323,3323,3323,3323,3323,3323,3323,3322,3323,3315,3323,550,3323
034,3421,3421,3421,3421,3421,3421,3421,3366,3421,3370,3421,569,3419
035,6795,6795,6795,6795,6795,6795,6795,6700,6757,6730,6757,956,6789
036,986,986,986,986,986,986,986,985,985,979,985,166,986
037,986,986,986,986,986,986,986,955,986,0,986,0,986
038,14869,14869,14869,14869,14869,14869,14869,14789,14865,14437,14860,2101,14854
039,29,29,29,29,29,29,29,29,29,29,29,0,29
040,35,35,35,35,35,35,35,35,35,35,0,0,35
041,1560,1560,1560,1560,1560,1560,1560,1544,1560,3,1555,253,1560
042,290,290,290,290,290,290,290,290,290,20,63,0,290
043,128,128,128,128,128,128,128,128,128,128,128,21,128
046,2962,2962,2962,2962,2962,2962,2962,2926,2960,2799,2959,482,2959
047,271,271,271,271,271,271,271,271,271,253,271,5,271
049,4381,4381,4381,4381,4381,4381,4381,4360,4343,4285,4336,655,4380
