datetime,sourceno,id,octant,stationno,latitude,longitude,year,month,day,hour,pressure,drybulbF,rh,watertempF,datetime
1933-05-08 08:00:00+00:00,K15,,1.0,138,51.0,222.0,33,5.0,8.0,8,1016.9,40.0,81.0,,1933-05-08 08:00:00+00:00
1933-05-15 08:00:00+00:00,(12,,1.0,138,21.0,222.0,33,5,15,8,1021.7,67.0,78.0,69.0,1933-05-15 08:00:00+00:00
1933-06-26 08:00:00+00:00,K15,,1.0,138,51.0,222.0,33,6.0,26.0,8,1016.9,48.0,88.0,50.0,1933-06-26 08:00:00+00:00
1933-06-27 16:00:00+00:00,J15,,1.0,138,51.0,222.0,33,6.0,27.0,16,1023.4,54.0,73.0,53.0,1933-06-27 16:00:00+00:00
1933-10-02 08:00:00+00:00,K15,,1.0,138,51.0,222.0,33,10.0,2.0,8,1004.4,52.0,97.0,57.0,1933-10-02 08:00:00+00:00
1933-10-16 08:00:00+00:00,K15,,1.0,138,51.0,222.0,33,10.0,16.0,8,1026.1,47.0,59.0,50.0,1933-10-16 08:00:00+00:00
1933-11-13 08:00:00+00:00,K15,,1.0,138,51.0,222.0,33,11.0,13.0,8,,52.0,94.0,49.0,1933-11-13 08:00:00+00:00
1933-11-27 16:00:00+00:00,K15,,1.0,138,51.0,222.0,33,11.0,27.0,16,1023.4,43.0,77.0,47.0,1933-11-27 16:00:00+00:00
1934-03-19 08:00:00+00:00,K15,,1.0,138,51.0,222.0,34,3.0,19.0,8,1020.0,38.0,62.0,,1934-03-19 08:00:00+00:00
1936-08-17 20:00:00+00:00,J13,,1.0,138,31.0,222.0,36,8.0,17.0,20,1020.7,69.0,76.0,71.0,1936-08-17 20:00:00+00:00
1938-04-22 20:00:00+00:00,O13,,1.0,138,31.0,222.0,38,4.0,22.0,20,1023.4,68.0,76.0,67.0,1938-04-22 20:00:00+00:00
1940-11-12 12:00:00+00:00,R13,,1.0,138,31.0,222.0,40,11.0,12.0,12,1013.6,68.0,71.0,69.0,1940-11-12 12:00:00+00:00
1941-05-09 16:00:00+00:00,R13,,1.0,138,31.0,222.0,41,5.0,9.0,16,1011.5,66.0,85.0,64.0,1941-05-09 16:00:00+00:00
1941-06-05 08:00:00+00:00,M03,,0.0,138,31.0,322.0,41,6,5,08,1023.9,74.0,82.0,73.0,1941-06-05 08:00:00+00:00
1941-06-05 16:00:00+00:00,M03,,0.0,138,31.0,322.0,41,6,5,16,1024.0,76.0,87.0,73.0,1941-06-05 16:00:00+00:00
1941-11-24 20:00:00+00:00, 50,,5.0,138,-1.0,322.0,41,11,24,20.0,1008.3,80.0,79.0,81.0,1941-11-24 20:00:00+00:00
1941-11-25 04:00:00+00:00, 50,,5.0,138,-1.0,322.0,41,11,25,4.0,1007.8,80.0,75.0,80.0,1941-11-25 04:00:00+00:00
1942-11-17 08:00:00+00:00,O03,,0.0,138,31.0,322.0,42,11,17,08,1018.0,70.0,68.0,72.0,1942-11-17 08:00:00+00:00
1942-11-17 08:00:00+00:00,M03,,0.0,138,31.0,322.0,42,11,17,08,1017.4,72.0,65.0,74.0,1942-11-17 08:00:00+00:00
