datetime,sourceno,stationno,latitude,longitude,year,month,day,hour,pressure,drybulbF,rh,watertempF,datetime
1929-04-30 16:00:00+00:00, 99,142,,,29.0,4.0,30.0,16.0,1012.2,74.0,33.0,62.0,1929-04-30 16:00:00+00:00
1930-06-13 16:00:00+00:00,J04,142,,,30.0,6.0,13.0,16.0,1015.6,67.0,82.0,67.0,1930-06-13 16:00:00+00:00
1933-01-11 07:00:00+00:00,888,142,,,33.0,-1.0,11.0,-7.0,1000.7,1041.0,-83.0,,1933-01-11 07:00:00+00:00
1933-09-04 12:00:00+00:00,K15,142,,,33.0,9.0,4.0,12.0,1020.7,54.0,70.0,52.0,1933-09-04 12:00:00+00:00
1933-10-30 16:00:00+00:00,K15,142,,,33.0,10.0,30.0,16.0,1003.1,49.0,67.0,47.0,1933-10-30 16:00:00+00:00
1933-12-11 16:00:00+00:00,K15,142,,,33.0,12.0,11.0,16.0,1013.5,41.0,65.0,45.0,1933-12-11 16:00:00+00:00
1934-02-19 16:00:00+00:00,L15,142,,,34.0,2.0,19.0,16.0,1005.4,46.0,100.0,43.0,1934-02-19 16:00:00+00:00
1934-04-09 12:00:00+00:00,P13,142,,,34.0,4.0,9.0,12.0,1020.3,69.0,76.0,66.0,1934-04-09 12:00:00+00:00
1934-04-16 20:00:00+00:00,L15,142,,,34.0,4.0,16.0,20.0,1021.3,44.0,67.0,43.0,1934-04-16 20:00:00+00:00
1937-05-23 08:00:00+00:00,(13,142,,,37.0,5.0,23.0,8.0,1024.4,68.0,58.0,66.0,1937-05-23 08:00:00+00:00
1937-05-24 08:00:00+00:00,M13,142,,,37.0,5.0,24.0,8.0,1022.7,68.0,71.0,66.0,1937-05-24 08:00:00+00:00
1937-05-24 08:00:00+00:00,L13,142,,,37.0,5.0,24.0,8.0,1023.4,66.0,80.0,66.0,1937-05-24 08:00:00+00:00
1937-05-24 08:00:00+00:00,N13,142,,,37.0,5.0,24.0,8.0,1022.7,69.0,63.0,68.0,1937-05-24 08:00:00+00:00
1937-05-24 08:00:00+00:00,N13,142,,,37.0,5.0,24.0,8.0,1022.7,66.0,66.0,67.0,1937-05-24 08:00:00+00:00
1937-05-24 12:00:00+00:00,N13,142,,,37.0,5.0,24.0,12.0,1022.0,68.0,65.0,68.0,1937-05-24 12:00:00+00:00
1937-05-24 12:00:00+00:00,L13,142,,,37.0,5.0,24.0,12.0,1023.4,74.0,54.0,67.0,1937-05-24 12:00:00+00:00
1937-05-24 12:00:00+00:00,J13,142,,,37.0,5.0,24.0,12.0,1023.4,66.0,71.0,68.0,1937-05-24 12:00:00+00:00
1937-05-24 12:00:00+00:00,N13,142,,,37.0,5.0,24.0,12.0,1022.4,69.0,67.0,68.0,1937-05-24 12:00:00+00:00
1937-05-24 12:00:00+00:00,M13,142,,,37.0,5.0,24.0,12.0,1023.4,70.0,70.0,66.0,1937-05-24 12:00:00+00:00
1938-08-18 08:00:00+00:00,M13,142,,,38.0,8.0,18.0,8.0,1023.7,72.0,73.0,72.0,1938-08-18 08:00:00+00:00
1938-08-18 12:00:00+00:00,M13,142,,,38.0,8.0,18.0,12.0,1023.4,76.0,70.0,72.0,1938-08-18 12:00:00+00:00
1939-05-25 12:00:00+00:00,M13,142,,,39.0,5.0,25.0,12.0,1024.7,71.0,81.0,66.0,1939-05-25 12:00:00+00:00
1939-09-04 08:00:00+00:00,M13,142,,,39.0,9.0,4.0,8.0,1026.1,73.0,69.0,72.0,1939-09-04 08:00:00+00:00
1940-04-07 08:00:00+00:00,J13,142,,,40.0,4.0,7.0,8.0,1016.6,64.0,74.0,59.0,1940-04-07 08:00:00+00:00
1940-04-07 08:00:00+00:00,L13,142,,,40.0,4.0,7.0,8.0,1015.2,68.0,60.0,62.0,1940-04-07 08:00:00+00:00
1940-04-07 08:00:00+00:00,N13,142,,,40.0,4.0,7.0,8.0,1018.0,64.0,79.0,63.0,1940-04-07 08:00:00+00:00
1940-04-07 08:00:00+00:00,N13,142,,,40.0,4.0,7.0,8.0,1016.6,64.0,67.0,65.0,1940-04-07 08:00:00+00:00
1940-04-07 12:00:00+00:00,J13,142,,,40.0,4.0,7.0,12.0,1017.6,64.0,80.0,60.0,1940-04-07 12:00:00+00:00
1940-04-07 12:00:00+00:00,N13,142,,,40.0,4.0,7.0,12.0,1018.3,65.0,80.0,65.0,1940-04-07 12:00:00+00:00
1940-04-07 12:00:00+00:00,N13,142,,,40.0,4.0,7.0,12.0,1018.3,64.0,87.0,66.0,1940-04-07 12:00:00+00:00
1941-11-24 04:00:00+00:00,M00,142,,,41.0,11.0,24.0,4.0,1007.9,79.0,73.0,81.0,1941-11-24 04:00:00+00:00
