stationno,datetime
001,12
002,20
003,15
004,76
005,12
006,32
007,44
008,42
009,20
010,16
012,16
014,37
015,40
016,89
017,95
018,45
019,60
020,392
021,51
022,74
023,86
024,92
025,100
026,51
027,60
028,62
029,80
030,90
031,83
032,81
033,77
034,92
035,75
036,81
037,80
038,83
039,111
040,1357
041,111
042,78
043,58
044,62
045,3347
046,59
047,56
048,68
049,152
050,93
051,123
052,108
053,119
054,77
055,233
056,201
057,362
058,483
059,221
060,156
061,110
062,219
063,92
064,84
065,48
066,66
067,94
068,169
069,236
070,344
071,242
072,139
073,243
074,292
075,4051
076,175
077,83
078,186
079,132
080,169
081,93
085,55
086,25
087,102
088,26
089,32
090,117
091,38
092,13
093,18
094,322
095,38
102,146
103,24
104,67
105,20
107,42
108,36
109,51
110,33
111,18
114,259
115,42
116,23
117,86
118,110
119,136
120,94
121,2577
122,1361
123,143
124,80
125,131
126,98
127,98
128,77
129,78
130,77
131,101
132,94
133,66
134,76
135,65
136,49
137,57
138,60
139,92
140,102
141,72
142,68
143,57
144,70
145,73
146,142
147,64
148,72
149,66
150,60
151,74
152,73
153,59
154,50
155,90
156,159
157,1219
158,4014
159,363
160,126
161,124
162,508
163,128
164,107
165,58
166,46
167,63
168,74
169,80
170,177
171,2014
172,239
173,91
174,1006
175,129
176,122
177,71
178,467
179,270
180,56
181,26
184,24
186,54
187,40
188,12
189,26
190,34
191,29
192,31
193,21
202,19
203,43
204,28
205,37
206,17
207,12
208,12
209,67
210,53
211,20
212,18
213,17
214,226
215,46
216,41
217,685
218,687
219,412
220,227
221,149
222,159
223,141
224,116
225,174
226,96
227,79
228,69
229,83
230,63
231,70
232,76
233,60
234,73
235,92
236,78
237,62
238,61
239,64
240,79
241,107
242,66
243,53
244,68
245,71
246,73
247,227
248,73
249,59
250,70
251,71
252,66
253,77
254,86
255,101
256,138
257,181
258,221
259,5741
260,4033
261,2125
262,2180
263,16615
264,332
265,914
266,220
267,71
268,66
269,77
270,193
271,2170
272,197
273,133
274,185
275,121
276,767
277,1255
278,384
279,120
280,62
281,131
282,95
285,25
287,51
290,11
291,26
292,31
293,30
294,13
301,59
305,79
306,21
307,48
308,36
309,11
310,50
311,67
312,58
313,32
314,61
316,50
317,14804
318,3810
319,1759
320,507
321,205
322,148
323,156
324,111
325,121
326,100
327,73
328,103
329,80
330,78
331,115
332,110
333,84
334,82
335,74
336,72
337,72
338,95
339,66
340,68
341,47
342,80
343,132
344,77
345,92
346,114
347,77
348,42
349,55
350,64
351,80
352,81
353,120
354,125
355,90
356,75
357,79
358,91
359,81
360,143
361,82
362,109
363,136
364,157
365,211
366,117
367,79
368,75
369,60
370,88
371,142
372,83
373,200
374,142
375,112
376,96
377,91
378,103
379,68
380,141
381,33
382,28
383,35
387,29
388,34
393,20
394,22
395,17
396,36
397,12
401,173
403,30
405,35
407,39
408,928
409,77
410,67
411,41
412,88
413,72
414,52
415,35
416,33
417,103
418,22436
419,682
420,781
421,2501
422,210
423,136
424,92
425,122
426,84
427,142
428,94
429,95
430,139
431,100
432,96
433,93
434,57
435,78
436,89
437,68
438,84
439,35
440,65
441,72
442,65
443,85
444,131
445,79
446,104
447,78
448,64
449,62
450,67
451,93
452,118
453,90
454,69
455,74
456,68
457,66
458,100
459,100
460,87
461,59
462,78
463,94
464,75
465,77
466,238
467,448
468,153
469,101
470,310
471,57
472,74
473,79
474,133
475,122
476,69
477,73
478,39
479,45
480,32
481,54
482,156
