stationno,datetime,datetime,datetime
001,12,1930-07-01 12:00:00+00:00,1944-06-06 20:00:00+00:00
002,20,1930-06-21 08:00:00+00:00,1944-12-30 16:00:00+00:00
003,15,1933-06-27 12:00:00+00:00,1944-12-30 20:00:00+00:00
004,76,1943-09-04 16:00:00+00:00,1944-06-19 16:00:00+00:00
005,12,1930-07-05 08:00:00+00:00,1944-05-26 16:00:00+00:00
006,32,1930-06-17 16:00:00+00:00,1944-10-26 08:00:00+00:00
007,44,1929-01-18 16:00:00+00:00,1944-10-26 04:00:00+00:00
008,42,1926-02-05 12:00:00+00:00,1944-10-23 16:00:00+00:00
009,20,1926-02-05 08:00:00+00:00,1944-08-23 12:00:00+00:00
010,16,1929-03-19 08:00:00+00:00,1945-03-03 16:00:00+00:00
012,16,1930-07-11 08:00:00+00:00,1944-07-07 04:00:00+00:00
014,37,1928-10-12 12:00:00+00:00,1944-08-09 12:00:00+00:00
015,40,1928-10-12 08:00:00+00:00,1945-01-16 12:00:00+00:00
016,89,1928-10-12 16:00:00+00:00,1945-01-16 20:00:00+00:00
017,95,1926-03-31 08:00:00+00:00,1944-08-07 08:00:00+00:00
018,45,1934-11-08 08:00:00+00:00,1945-01-15 04:00:00+00:00
019,60,1930-12-04 12:00:00+00:00,1945-01-20 12:00:00+00:00
020,392,1928-11-02 08:00:00+00:00,1945-02-20 04:00:00+00:00
021,51,1929-09-14 08:00:00+00:00,1945-01-20 20:00:00+00:00
022,74,1928-10-02 08:00:00+00:00,1945-02-01 12:00:00+00:00
023,86,1928-10-05 08:00:00+00:00,1945-02-21 16:00:00+00:00
024,92,1927-01-24 08:00:00+00:00,1945-05-23 20:00:00+00:00
025,100,1929-08-15 08:00:00+00:00,1945-02-02 08:00:00+00:00
026,51,1933-05-12 12:00:00+00:00,1945-04-13 16:00:00+00:00
027,60,1935-11-26 16:00:00+00:00,1945-06-18 12:00:00+00:00
028,62,1933-03-28 12:00:00+00:00,1945-02-05 20:00:00+00:00
029,80,1932-02-02 16:00:00+00:00,1945-03-31 16:00:00+00:00
030,90,1932-05-10 12:00:00+00:00,1945-05-06 16:00:00+00:00
031,83,1920-07-16 01:00:00+00:00,1945-05-06 12:00:00+00:00
032,81,1933-04-23 20:00:00+00:00,1945-07-14 08:00:00+00:00
033,77,1932-03-02 20:00:00+00:00,1945-07-14 16:00:00+00:00
034,92,1928-06-20 08:00:00+00:00,1945-05-30 16:00:00+00:00
