,YR,MO,DY,HR,LAT,LON,SLP,AT,SST,DCK,SID,PT,UID,RN1,RN2,RN3,RSA,IRF
45465,1945,1,26.0,,-66.6,37.2,,-2.1,,899,15,,0MYYHV,3,1,0,2,1
45466,1945,2,10.0,,-67.0,32.3,,-1.0,,899,15,,0MZDUL,3,1,0,2,1
45467,1945,12,12.0,0.0,-60.8,89.0,980.2,-1.0,,899,15,,0NB5RJ,3,1,0,2,1
45468,1946,1,4.0,,-60.5,316.0,982.3,2.8,,899,15,,0NBYGW,3,1,0,2,1
45469,1946,1,5.0,,-61.0,316.0,,2.2,,899,15,,0NBZFR,3,1,0,2,1
45470,1946,1,5.0,0.0,-60.4,299.6,998.3,,1.1,207,91,5.0,0NBZHL,3,1,0,2,1
45471,1946,1,5.0,12.0,-61.5,298.6,998.0,-0.6,0.6,207,91,5.0,0NBZYR,3,1,0,2,1
45472,1946,1,6.0,,-60.0,16.4,981.4,3.9,,899,15,,0NC0EK,3,1,0,2,1
45473,1946,1,6.0,,-61.9,315.7,,2.2,,899,15,,0NC0EJ,3,1,0,2,1
45474,1946,1,6.0,20.0,-60.7,354.0,983.3,-0.6,,204,91,5.0,0NC17A,3,1,0,2,1
45475,1946,1,7.0,,-60.0,21.3,980.7,,,899,15,,0NC1CN,3,1,0,2,1
45476,1946,1,7.0,,-60.3,21.4,978.7,1.1,,899,15,,0NC1CO,3,1,0,2,1
45477,1946,1,7.0,,-61.6,311.4,,0.6,,899,15,,0NC1CM,3,1,0,2,1
45478,1946,1,7.0,12.0,-60.5,359.5,981.8,-0.6,,204,91,5.0,0NC1W4,3,1,0,2,1
45479,1946,1,7.0,12.0,-64.7,296.8,1003.7,3.9,0.6,207,91,5.0,0NC1W3,3,1,0,2,1
45480,1946,1,7.0,20.0,-61.2,0.0,982.4,-0.6,0.6,204,91,5.0,0NC25T,3,1,0,2,1
45481,1946,1,7.0,20.0,-61.2,0.0,982.4,-0.6,0.6,156,4,,0NC25U,3,1,0,2,1
45482,1946,1,8.0,,-60.6,22.4,985.4,2.8,,899,15,,0NC2B0,3,1,0,2,1
45483,1946,1,8.0,,-60.8,25.1,988.8,1.1,,899,15,,0NC2B1,3,1,0,2,1
45484,1946,1,8.0,,-61.8,310.2,,0.6,,899,15,,0NC2AZ,3,1,0,2,1
45485,1946,1,8.0,0.0,-60.7,355.0,982.3,-0.6,,204,91,5.0,0NC2D2,3,1,0,2,1
45486,1946,1,8.0,12.0,-62.2,1.2,980.2,1.7,0.6,204,91,5.0,0NC2SH,3,1,0,2,1
45487,1946,1,8.0,20.0,-62.2,359.8,979.1,0.6,,204,91,5.0,0NC31W,3,1,0,2,1
45488,1946,1,9.0,,-60.8,25.4,985.4,1.1,,899,15,,0NC36R,3,1,0,2,1
45489,1946,1,9.0,,-60.9,23.4,982.7,2.2,,899,15,,0NC36Q,3,1,0,2,1
45490,1946,1,9.0,,-61.6,309.2,,2.8,,899,15,,0NC36P,3,1,0,2,1
45491,1946,1,9.0,0.0,-61.7,1.7,982.8,-0.6,0.6,204,91,5.0,0NC38P,3,1,0,2,1
45492,1946,1,9.0,4.0,-62.2,354.3,982.1,-0.6,,204,91,5.0,0NC3E6,3,1,0,2,1
45493,1946,1,9.0,12.0,-62.2,352.8,985.6,,0.6,204,91,5.0,0NC3P2,3,1,0,2,1
45494,1946,1,9.0,21.0,-62.2,351.5,987.0,2.8,0.6,204,91,5.0,0NC403,3,1,0,2,1
45495,1946,1,10.0,,-60.8,26.6,977.3,0.6,,899,15,,0NC43K,3,1,0,2,1
45496,1946,1,10.0,,-61.0,22.2,977.3,2.2,,899,15,,0NC43J,3,1,0,2,1
45497,1946,1,10.0,0.0,-62.2,356.1,979.4,,,204,91,5.0,0NC45G,3,1,0,2,1
45498,1946,1,10.0,5.0,-61.5,350.5,986.2,,0.6,204,91,5.0,0NC4B3,3,1,0,2,1
45499,1946,1,10.0,13.0,-60.7,349.5,984.0,,0.6,204,91,5.0,0NC4LO,3,1,0,2,1
45500,1946,1,10.0,21.0,-60.2,348.3,981.3,-0.6,0.6,204,91,5.0,0NC4WI,3,1,0,2,1
45501,1946,1,11.0,,-60.8,27.3,978.7,1.1,,899,15,,0NC502,3,1,0,2,1
45502,1946,1,11.0,,-61.6,308.8,,-1.0,,899,15,,0NC501,3,1,0,2,1
45503,1946,1,11.0,0.0,-62.2,353.0,987.7,,0.6,204,91,5.0,0NC522,3,1,0,2,1
45504,1946,1,11.0,13.0,-60.2,347.0,983.4,-0.6,-0.6,204,91,5.0,0NC5JB,3,1,0,2,1
45505,1946,1,12.0,,-60.8,27.5,986.1,1.1,,899,15,,0NC5Y6,3,1,0,2,1
45506,1946,1,12.0,,-61.4,309.0,,-1.0,,899,15,,0NC5Y4,3,1,0,2,1
45507,1946,1,12.0,,-61.8,17.4,1002.4,1.1,,899,15,,0NC5Y5,3,1,0,2,1
45508,1946,1,12.0,1.0,-60.0,348.3,982.3,-0.6,0.6,204,91,5.0,0NC61G,3,1,0,2,1
45509,1946,1,13.0,,-61.0,28.0,992.9,1.1,,899,15,,0NC6XA,3,1,0,2,1
45510,1946,1,13.0,,-61.5,24.0,997.6,2.8,,899,15,,0NC6X9,3,1,0,2,1
45511,1946,1,14.0,,-61.7,27.9,978.0,0.6,,899,15,,0NC7VB,3,1,0,2,1
45512,1946,1,14.0,,-62.2,27.4,985.4,3.9,,899,15,,0NC7VA,3,1,0,2,1
45513,1946,1,14.0,6.0,-65.47,148.77,1008.0,,,245,126,1.0,0NC86R,3,1,0,2,1
45514,1946,1,15.0,,-62.0,29.8,984.8,2.2,,899,15,,0NC8VA,3,1,0,2,1
45515,1946,1,15.0,,-62.3,27.6,978.0,1.1,,899,15,,0NC8V9,3,1,0,2,1
45516,1946,1,16.0,,-60.8,309.9,973.6,1.1,,899,15,,0NC9WN,3,1,0,2,1
45517,1946,1,16.0,,-61.6,33.3,982.7,,,899,15,,0NC9WM,3,1,0,2,1
45518,1946,1,16.0,,-62.4,27.6,979.3,-1.0,,899,15,,0NC9WO,3,1,0,2,1
45519,1946,1,17.0,,-60.9,309.8,,1.1,,899,15,,0NCAX8,3,1,0,2,1
45520,1946,1,17.0,,-62.3,27.9,978.7,,,899,15,,0NCAX9,3,1,0,2,1
45521,1946,1,17.0,,-64.7,33.4,985.4,2.2,,899,15,,0NCAX7,3,1,0,2,1
45522,1946,1,18.0,,-60.7,309.7,979.0,,,899,15,,0NCBVH,3,1,0,2,1
45523,1946,1,18.0,,-62.2,28.1,980.4,1.1,,899,15,,0NCBVI,3,1,0,2,1
45524,1946,1,18.0,,-65.2,32.3,987.5,,,899,15,,0NCBVG,3,1,0,2,1
45525,1946,1,19.0,,-60.4,309.2,981.0,-0.5,,899,15,,0NCCSQ,3,1,0,2,1
45526,1946,1,19.0,,-61.9,28.2,980.0,1.1,,899,15,,0NCCSR,3,1,0,2,1
45527,1946,1,19.0,,-65.2,31.5,988.5,1.1,,899,15,,0NCCSP,3,1,0,2,1
45528,1946,1,20.0,,-60.3,309.5,981.4,-0.5,,899,15,,0NCDQZ,3,1,0,2,1
45529,1946,1,20.0,,-61.8,28.2,982.7,1.1,,899,15,,0NCDR0,3,1,0,2,1
45530,1946,1,20.0,,-64.8,33.5,990.9,,,899,15,,0NCDQY,3,1,0,2,1
45531,1946,1,21.0,,-60.2,309.9,,1.7,,899,15,,0NCENN,3,1,0,2,1
45532,1946,1,21.0,,-60.3,32.3,986.0,3.9,,899,15,,0NCENL,3,1,0,2,1
