DCK,YR
116,9224
117,35962
118,2831
119,4500
128,18664
150,315
151,29
152,4
155,372
156,1693
184,2112
185,18
187,9308
188,703
189,2737
192,2560
194,2043
197,696
201,9
202,856
203,5272
204,780
207,1790
209,1653
213,4322
215,2460
223,1340
227,2109
229,655
230,3821
233,17
239,104
245,511
246,4335
249,5
254,9985
255,26
555,2271
700,902
701,43
704,15
705,31
706,60
711,1
714,572847
720,1178
721,25
730,1
732,37465
735,24878
736,172
740,2086
749,2
761,6032
780,44935
782,898
792,3051
849,782
850,519
874,472
888,18948
889,1098
892,29936
893,4641
896,1
897,127
898,29157
899,40194
900,4152
926,72987
927,12352
992,2394
