Pressure [dbar],c0mS/cm,c1mS/cm,flECO-AFL,sbeox0V,t090C,t190C,timeS,sbeox1V,par,turbWETntu0,sal00,sal11,sigma-t00,sigma-t11,sbeox0ML/L,sbox0Mm/Kg,sbeox0PS,sbeox1ML/L,sbox1Mm/Kg,sbeox1PS,nbin,flag,profile_id,latitude,longitude,time
156.0,32.265886,32.266863,0.0942,1.763,5.5269,5.5273,400.23400000000004,2.7481,0.20168,0.295,33.0185,33.0193,26.0441,26.0446,4.8221,209.89,68.123,4.6528,202.518,65.73100000000001,7.0,False,dy2012ctd001,54.442166666666665,-165.28166666666667,2020-09-02 11:42:13
66.0,29.921418,29.923567,0.1429,1.9651,3.4917,3.493,239.65200000000002,3.0994,0.20624,0.54,32.3478,32.3491,25.7249,25.7258,5.8532,254.84799999999998,78.378,5.7149,248.827,76.529,20.0,False,dy2012ctd002,57.861333333333334,-168.8805,2020-09-03 21:45:20
64.0,30.007386,30.008687,0.1612,1.9548,3.5537,3.5541,271.137,3.0831,0.20329,0.628,32.3897,32.3909,25.7526,25.7535,5.802,252.613,77.833,5.6645,246.62599999999998,75.99,42.0,False,dy2012ctd003,57.6525,-169.0185,2020-09-03 23:48:03
66.0,29.385069,29.386494,0.2271,2.0334,3.0043,3.0048,189.98,3.2068,0.20359000000000002,0.5886,32.1892,32.1904,25.6414,25.6424,6.2155,270.645,82.145,6.0634,264.02299999999997,80.137,36.0,False,dy2012ctd004,57.76733333333333,-168.4645,2020-09-04 02:25:36
66.0,29.389784999999996,29.391315999999996,0.2262,2.0437,3.0246,3.025,186.225,3.2226,0.20340999999999998,0.6773,32.1746,32.1761,25.6281,25.6292,6.2518,272.22700000000003,82.65700000000001,6.0904,265.199,80.525,31.0,False,dy2012ctd005,58.06316666666667,-168.7225,2020-09-04 05:04:37
63.0,29.85678,29.859315999999996,0.1465,1.9799,3.4096,3.4104,163.197,3.1214,0.20225,0.4711,32.3539,32.3562,25.7373,25.739,5.9218,257.83299999999997,79.14,5.7692,251.18900000000002,77.104,3.0,False,dy2012ctd006,57.92316666666667,-169.31066666666666,2020-09-04 07:51:30
66.0,28.261206,28.263457,0.254,2.0985,1.9479,1.9486,156.958,3.304,0.20254,0.7058,31.8706,31.8727,25.4688,25.4705,6.6854,291.157,85.859,6.5099,283.514,83.60799999999999,34.0,False,dy2012ctd007,58.964666666666666,-170.36233333333334,2020-09-04 15:02:14
69.0,26.768087,26.770783,0.5068,2.2558,0.1304,0.1314,208.74200000000002,3.5509,0.30701999999999996,0.5935,31.823,31.8255,25.5362,25.5381,7.7613,337.98900000000003,95.085,7.5362,328.185,92.331,36.0,False,dy2012ctd008,59.70016666666667,-171.49933333333334,2020-09-04 22:39:06
65.0,26.691664000000003,26.695078000000002,0.8035,2.2792,0.0141,0.0164,184.017,3.591,0.4224,0.5372,31.846,31.8481,25.56,25.5616,7.8857,343.397,96.33,7.6515,333.19800000000004,93.476,9.0,False,dy2012ctd009,59.89816666666667,-171.2575,2020-09-05 00:49:53
67.0,26.621819,26.570556,1.1942,2.2226,-0.0813,-0.0805,167.546,3.4899,0.24994,1.0616,31.8525,31.7841,25.5694,25.5141,7.6648,333.774,93.40100000000001,7.4062,322.533,90.209,6.0,False,dy2012ctd010,59.903666666666666,-171.69883333333334,2020-09-05 02:47:34
59.0,27.095,27.051085999999998,0.7197,2.2702,0.5043,0.5045,275.066,3.575,0.20820999999999998,0.7069,31.867,31.81,25.5536,25.5077,7.7313,336.675,95.676,7.4813,325.805,92.546,15.0,False,dy2012ctd011,60.08383333333333,-172.0,2020-09-05 04:57:13
70.0,26.718969,26.721690999999996,0.6283,2.2534,0.0145,0.015,281.025,3.548,0.20188,1.2605,31.8786,31.8817,25.5863,25.5887,7.7767,338.64099999999996,95.021,7.5523,328.869,92.28200000000001,14.0,False,dy2012ctd012,59.90083333333333,-172.16683333333333,2020-09-05 07:01:14
117.0,29.279751,29.282606,0.0446,1.851,2.2202,2.2213,288.832,2.9092,0.2027,0.7917,32.8293,32.8318,26.2162,26.2181,5.6259,244.83599999999998,73.23100000000001,5.475,238.267,71.27,24.0,False,dy2012ctd013,61.35883333333334,-177.16366666666667,2020-09-06 07:06:22
95.0,27.854794000000002,27.857038,0.0778,1.7767,0.6795,0.68,228.078,2.7941,0.20253,0.6602,32.6467,32.6491,26.1719,26.1738,5.5548,241.75099999999998,69.431,5.4339,236.488,67.922,41.0,False,dy2012ctd014,61.84916666666667,-176.254,2020-09-06 14:15:52
64.0,26.405336,26.405110999999998,0.1521,2.101,-0.8451,-0.848,191.75099999999998,3.2965,0.20225,1.6107,32.3745,32.3772,26.0206,26.0229,7.2784,316.811,87.23700000000001,7.0514,306.92900000000003,84.51100000000001,8.0,False,dy2012ctd015,62.425333333333334,-174.70083333333332,2020-09-07 22:23:27
59.0,26.267393,26.270349,0.2387,2.0364,-0.9827,-0.9816,160.55100000000002,3.1985,0.22004,2.6995,32.3389,32.3418,25.9963,25.9986,7.0074,305.019,83.65799999999999,6.7965,295.83799999999997,81.145,20.0,False,dy2012ctd016,62.467,-174.08366666666666,2020-09-08 00:56:42
60.0,26.461178000000004,26.46358,0.5712,2.0021,-0.6208,-0.6198,207.55200000000002,3.1504,0.20364000000000002,3.1671,32.2119,32.2141,25.8811,25.8828,6.7804,295.173,81.66,6.5872,286.763,79.337,20.0,False,dy2012ctd017,62.199333333333335,-174.3015,2020-09-08 02:51:15
67.0,26.328146000000004,26.327103,0.2001,1.9973,-0.8954,-0.901,199.518,3.1391,0.20538,1.3078,32.3225,32.327,25.9801,25.984,6.8267,297.161,81.683,6.6428,289.155,79.473,23.0,False,dy2012ctd018,61.97416666666667,-174.6255,2020-09-08 04:56:38
72.0,26.38131,26.384565999999996,0.1681,2.0481,-0.8866,-0.8854,238.511,3.2169,0.2014,2.139,32.3818,32.3849,26.0279,26.0304,7.058,307.21299999999997,84.505,6.8563,298.431,82.094,17.0,False,dy2012ctd019,62.01083333333333,-175.06716666666668,2020-09-08 06:45:55
73.0,26.527562,26.531894,0.1467,2.1002,-0.7073,-0.7033,195.428,3.3015,0.20110999999999998,1.7776,32.3857,32.3873,26.0249,26.026,7.2324,314.806,87.01,7.0467,306.723,84.786,6.0,False,dy2012ctd020,62.04683333333333,-175.21516666666668,2020-09-08 07:57:13
