Pressure [dbar],c0mS/cm,c1mS/cm,flECO-AFL,sbeox0V,t090C,t190C,timeS,sbeox1V,par,turbWETntu0,sal00,sal11,sigma-t00,sigma-t11,sbeox0ML/L,sbox0Mm/Kg,sbeox0PS,sbeox1ML/L,sbox1Mm/Kg,sbeox1PS,nbin,flag,profile_id,latitude,longitude,time
5.0,33.917605,33.92003,0.8184,2.2669,8.4504,8.4515,54.955,3.6078,0.75321,0.233,32.1277,32.1292,24.953,24.954,6.1435,267.689,92.292,6.0176,262.203,90.404,10.0,False,dy2012ctd001,54.442166666666665,-165.28166666666667,2020-09-02 11:42:13
5.0,36.850013,36.852779,1.3054,2.434,11.6863,11.6903,95.411,3.888,92.137,1.6788,32.2124,32.2117,24.4826,24.4813,6.2269,271.44599999999997,100.43799999999999,6.1333,267.368,98.93700000000001,5.0,False,dy2012ctd002,57.861333333333334,-168.8805,2020-09-03 21:45:20
5.0,36.918991999999996,36.915464,1.8486,2.4611,11.6587,11.6546,109.774,3.925,214.07,5.2217,32.3035,32.3037,24.5584,24.5592,6.3388,276.30400000000003,102.242,6.1938,269.98400000000004,99.895,33.0,False,dy2012ctd003,57.6525,-169.0185,2020-09-03 23:48:03
5.0,36.548223,36.547795,1.0503,2.4038,11.8023,11.8014,42.244,3.8339,146.51,0.6306,31.8196,31.8201,24.1565,24.157,6.1528,268.303,99.241,6.0183,262.437,97.07,19.0,False,dy2012ctd004,57.76733333333333,-168.4645,2020-09-04 02:25:36
5.0,36.540138,36.540903,1.3069,2.4006,11.8857,11.886,57.468999999999994,3.8375,50.193000000000005,0.3966,31.7406,31.7412,24.0799,24.0802,6.132,267.416,99.031,6.0314,263.027,97.406,12.0,False,dy2012ctd005,58.06316666666667,-168.7225,2020-09-04 05:04:37
5.0,36.938602,36.941223,2.9221,2.4113,11.7129,11.713,39.82,3.831,0.9034,3.6191,32.2754,32.2779,24.5267,24.5286,6.1588,268.466,99.435,6.0241,262.594,97.262,16.0,False,dy2012ctd006,57.92316666666667,-169.31066666666666,2020-09-04 07:51:30
5.0,36.414970000000004,36.417667,1.1225,2.3834,11.604,11.605,28.43,3.7899,0.61421,0.3288,31.8604,31.8622,24.2242,24.2254,6.0965,265.828,97.945,5.9555,259.682,95.684,13.0,False,dy2012ctd007,58.964666666666666,-170.36233333333334,2020-09-04 15:02:14
5.0,35.750378999999995,35.754718,0.2397,2.3832,10.9588,10.9616,59.277,3.7946,313.12,0.1852,31.7658,31.7677,24.2653,24.2663,6.1906,269.923,98.038,6.0708,264.699,96.147,20.0,False,dy2012ctd008,59.70016666666667,-171.49933333333334,2020-09-04 22:39:06
4.0,35.72789,35.730304,0.138,2.3783,10.9858,10.9858,40.118,3.7915,634.02,0.1864,31.7206,31.723,24.2254,24.2273,6.1698,269.026,97.73700000000001,6.0533,263.94599999999997,95.89299999999999,25.0,False,dy2012ctd009,59.89816666666667,-171.2575,2020-09-05 00:49:53
5.0,35.588553000000005,35.514489000000005,0.2704,2.3835,10.8146,10.8147,40.61,3.7878,237.04,0.1834,31.7307,31.6572,24.2629,24.2058,6.2132,270.906,98.068,6.0723,264.779,95.8,21.0,False,dy2012ctd010,59.903666666666666,-171.69883333333334,2020-09-05 02:47:34
