,temperature
1/1/10,2.60
1/2/10,2.51
1/3/10,2.58
1/4/10,2.44
1/5/10,2.63
1/6/10,2.69
1/7/10,2.61
1/8/10,2.55
1/9/10,2.62
1/10/10,2.46
1/11/10,2.52
1/12/10,2.75
1/13/10,2.67
1/14/10,3.02
1/15/10,3.05
1/16/10,3.02
1/17/10,2.98
1/18/10,2.96
1/19/10,2.75
1/20/10,2.58
1/21/10,2.39
1/22/10,2.22
1/23/10,2.10
1/24/10,1.99
1/25/10,1.97
1/26/10,1.92
1/27/10,1.81
1/28/10,1.81
1/29/10,1.99
1/30/10,1.97
1/31/10,1.97
2/1/10,1.95
2/2/10,1.96
2/3/10,1.95
2/4/10,1.85
2/5/10,1.52
2/6/10,0.98
2/7/10,0.66
2/8/10,0.61
2/9/10,0.60
2/10/10,0.64
2/11/10,0.70
2/12/10,0.74
2/13/10,0.69
2/14/10,0.68
2/15/10,0.59
2/16/10,0.49
2/17/10,0.58
2/18/10,0.77
2/19/10,0.76
2/20/10,0.73
2/21/10,0.44
2/22/10,0.18
2/23/10,0.22
2/24/10,0.44
2/25/10,0.59
2/26/10,0.62
2/27/10,0.37
2/28/10,-0.66
3/1/10,-1.23
3/2/10,-1.44
3/3/10,-1.36
3/4/10,-1.41
3/5/10,-1.60
3/6/10,-1.69
3/7/10,-1.69
3/8/10,-1.70
3/9/10,-1.72
3/10/10,-1.73
3/11/10,-1.73
3/12/10,-1.73
3/13/10,-1.73
3/14/10,-1.74
3/15/10,-1.75
3/16/10,-1.75
3/17/10,-1.74
3/18/10,-1.74
3/19/10,-1.74
3/20/10,-1.74
3/21/10,-1.73
3/22/10,-1.73
3/23/10,-1.73
3/24/10,-1.73
3/25/10,-1.73
3/26/10,-1.72
3/27/10,-1.73
3/28/10,-1.73
3/29/10,-1.74
3/30/10,-1.74
3/31/10,-1.74
4/1/10,-1.74
4/2/10,-1.73
4/3/10,-1.74
4/4/10,-1.74
4/5/10,-1.74
4/6/10,-1.74
4/7/10,-1.74
4/8/10,-1.74
4/9/10,-1.73
4/10/10,-1.74
4/11/10,-1.74
4/12/10,-1.73
4/13/10,-1.73
4/14/10,-1.73
4/15/10,-1.71
4/16/10,-1.71
4/17/10,-1.70
4/18/10,-1.68
4/19/10,-1.66
4/20/10,-1.63
4/21/10,-1.61
4/22/10,-1.63
4/23/10,-1.63
4/24/10,-1.61
4/25/10,-1.59
4/26/10,-1.57
4/27/10,-1.49
4/28/10,-1.46
4/29/10,-1.47
4/30/10,-1.50
5/1/10,
5/2/10,
5/3/10,
5/4/10,
5/5/10,
5/6/10,
5/7/10,
5/8/10,
5/9/10,
5/10/10,
5/11/10,
5/12/10,-1.45
5/13/10,-1.44
5/14/10,-1.42
5/15/10,-1.41
5/16/10,-1.40
5/17/10,-1.39
5/18/10,-1.39
5/19/10,-1.38
5/20/10,-1.36
5/21/10,-1.34
5/22/10,-1.33
5/23/10,-1.32
5/24/10,-1.29
5/25/10,-1.27
5/26/10,-1.26
5/27/10,-1.22
5/28/10,-1.14
5/29/10,-1.10
5/30/10,-1.09
5/31/10,-1.07
6/1/10,-1.04
6/2/10,-1.01
6/3/10,-0.97
6/4/10,-0.98
6/5/10,-0.96
6/6/10,-0.95
6/7/10,-0.97
6/8/10,-0.98
6/9/10,-0.96
6/10/10,-0.95
6/11/10,-0.94
6/12/10,-0.91
6/13/10,-0.90
6/14/10,-0.89
6/15/10,-0.85
6/16/10,-0.84
6/17/10,-0.85
6/18/10,-0.90
6/19/10,-0.92
6/20/10,-0.92
6/21/10,-0.91
6/22/10,-0.89
6/23/10,-0.86
6/24/10,-0.85
6/25/10,-0.83
6/26/10,-0.80
6/27/10,-0.78
6/28/10,-0.76
6/29/10,-0.75
6/30/10,-0.73
7/1/10,-0.71
7/2/10,-0.70
7/3/10,-0.69
7/4/10,-0.69
7/5/10,-0.69
7/6/10,-0.68
