DT,BP
2019-02-04 16:10:00+00:00,1002.43
2019-02-04 16:20:00+00:00,1002.67
2019-02-04 16:30:00+00:00,1002.93
2019-02-04 16:40:00+00:00,1002.98
2019-02-04 16:50:00+00:00,1003.15
2019-02-04 17:00:00+00:00,1003.32
2019-02-04 17:10:00+00:00,1003.29
2019-02-04 17:20:00+00:00,1003.37
2019-02-04 17:30:00+00:00,1003.5
2019-02-04 17:40:00+00:00,1003.53
2019-02-04 17:50:00+00:00,1003.7
2019-02-04 18:00:00+00:00,1004.04
2019-02-04 18:10:00+00:00,1003.94
2019-02-04 18:20:00+00:00,1004.02
2019-02-04 18:30:00+00:00,1004.21
2019-02-04 18:40:00+00:00,1004.21
2019-02-04 18:50:00+00:00,1004.36
2019-02-04 19:00:00+00:00,1004.48
2019-02-04 19:10:00+00:00,1004.58
2019-02-04 19:20:00+00:00,1004.52
2019-02-04 19:30:00+00:00,1004.57
2019-02-04 19:40:00+00:00,1004.79
2019-02-04 19:50:00+00:00,1004.88
2019-02-04 20:00:00+00:00,1004.59
2019-02-04 20:10:00+00:00,1004.45
2019-02-04 20:20:00+00:00,1004.59
2019-02-04 20:30:00+00:00,1004.47
2019-02-04 20:40:00+00:00,1004.42
2019-02-04 20:50:00+00:00,1004.5
2019-02-04 21:00:00+00:00,1004.32
2019-02-04 21:10:00+00:00,1004.41
2019-02-04 21:20:00+00:00,1004.36
2019-02-04 21:30:00+00:00,1004.42
2019-02-04 21:40:00+00:00,1004.5
2019-02-04 21:50:00+00:00,1004.51
2019-02-04 22:00:00+00:00,1004.54
2019-02-04 22:10:00+00:00,1004.55
2019-02-04 22:20:00+00:00,1004.64
2019-02-04 22:30:00+00:00,1004.75
2019-02-04 22:40:00+00:00,1004.84
2019-02-04 22:50:00+00:00,1004.81
2019-02-04 23:00:00+00:00,1004.85
2019-02-04 23:10:00+00:00,1004.95
2019-02-04 23:20:00+00:00,1004.92
2019-02-04 23:30:00+00:00,1005.02
2019-02-04 23:40:00+00:00,1005.11
2019-02-04 23:50:00+00:00,1005.13
2019-02-05 00:00:00+00:00,1005.23
2019-02-05 00:10:00+00:00,1005.32
2019-02-05 00:20:00+00:00,1005.47
2019-02-05 00:30:00+00:00,1005.47
2019-02-05 00:40:00+00:00,1005.35
2019-02-05 00:50:00+00:00,1005.32
2019-02-05 01:00:00+00:00,1005.33
2019-02-05 01:10:00+00:00,1005.48
2019-02-05 01:20:00+00:00,1005.42
2019-02-05 01:30:00+00:00,1005.55
