DT,U,USD,V,VSD
2019-02-04 16:10:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 16:20:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 16:30:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 16:40:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-04 16:50:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 17:00:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-04 17:10:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-04 17:20:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-04 17:30:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-04 17:40:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 17:50:00+00:00,-1.5,0.0,-0.9,0.0
2019-02-04 18:00:00+00:00,-1.5,0.0,-0.9,0.0
2019-02-04 18:10:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-04 18:20:00+00:00,-1.5,0.0,-0.9,0.0
2019-02-04 18:30:00+00:00,-1.5,0.0,-0.9,0.0
2019-02-04 18:40:00+00:00,-1.5,0.0,-0.9,0.0
2019-02-04 18:50:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-04 19:00:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 19:10:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 19:20:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-04 19:30:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 19:40:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 19:50:00+00:00,-1.5,0.0,-0.9,0.0
2019-02-04 20:00:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-04 20:10:00+00:00,-1.5,0.0,-0.9,0.0
2019-02-04 20:20:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 20:30:00+00:00,-1.5,0.0,-0.8,0.0
2019-02-04 20:40:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-04 20:50:00+00:00,-1.5,0.0,-0.9,0.0
2019-02-04 21:00:00+00:00,-1.5,0.0,-0.9,0.0
2019-02-04 21:10:00+00:00,-1.5,0.0,-0.9,0.0
2019-02-04 21:20:00+00:00,-1.5,0.0,-0.9,0.0
2019-02-04 21:30:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-04 21:40:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 21:50:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-04 22:00:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-04 22:10:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-04 22:20:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 22:30:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 22:40:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-04 22:50:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 23:00:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-04 23:10:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 23:20:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 23:30:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-04 23:40:00+00:00,-1.5,0.0,-0.9,0.0
2019-02-04 23:50:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 00:00:00+00:00,-1.5,0.0,-0.9,0.0
2019-02-05 00:10:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 00:20:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 00:30:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 00:40:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 00:50:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 01:00:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 01:10:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 01:20:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 01:30:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 01:40:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 01:50:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 02:00:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 02:10:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 02:20:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 02:30:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 02:40:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 02:50:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 03:00:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 03:10:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 03:20:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 03:30:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 03:40:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 03:50:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 04:00:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 04:10:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 04:20:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 04:30:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 04:40:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 04:50:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 05:00:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 05:10:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 05:20:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 05:30:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 05:40:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 05:50:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 06:00:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 06:10:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 06:20:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 06:30:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 06:40:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 06:50:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 07:00:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 07:10:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 07:20:00+00:00,-1.4,0.0,-0.9,0.0
2019-02-05 07:30:00+00:00,-1.4,0.0,-0.8,0.0
2019-02-05 07:40:00+00:00,-1.4,0.0,-0.9,0.0
