DT,RH,AT
2019-04-26T23:00:00Z,069.56,003.34
2019-04-26T23:10:00Z,070.24,003.40
2019-04-26T23:20:00Z,070.55,003.39
2019-04-26T23:30:00Z,071.14,003.43
2019-04-26T23:40:00Z,070.95,003.42
2019-04-26T23:50:00Z,070.79,003.47
2019-04-27T00:00:00Z,071.45,003.50
2019-04-27T00:10:00Z,071.07,003.54
2019-04-27T00:20:00Z,071.46,003.54
2019-04-27T00:30:00Z,070.81,003.51
2019-04-27T00:40:00Z,071.96,003.54
2019-04-27T00:50:00Z,071.73,003.54
2019-04-27T01:00:00Z,071.88,003.56
2019-04-27T01:10:00Z,072.15,003.56
2019-04-27T01:20:00Z,072.53,003.57
2019-04-27T01:30:00Z,072.73,003.57
2019-04-27T01:40:00Z,072.04,003.57
2019-04-27T01:50:00Z,072.76,003.58
2019-04-27T02:00:00Z,072.88,003.58
2019-04-27T02:10:00Z,073.06,003.61
2019-04-27T02:20:00Z,072.37,003.59
2019-04-27T02:30:00Z,072.08,003.60
2019-04-27T02:40:00Z,071.96,003.63
2019-04-27T02:50:00Z,071.36,003.60
2019-04-27T03:00:00Z,071.40,003.64
2019-04-27T03:10:00Z,070.06,003.63
2019-04-27T03:20:00Z,071.28,003.67
2019-04-27T03:30:00Z,069.90,003.64
2019-04-27T03:40:00Z,071.87,003.68
2019-04-27T03:50:00Z,072.21,003.66
2019-04-27T04:00:00Z,071.02,003.71
2019-04-27T04:10:00Z,072.51,003.75
2019-04-27T04:20:00Z,073.11,003.73
2019-04-27T04:30:00Z,072.97,003.72
2019-04-27T04:40:00Z,073.54,003.72
2019-04-27T04:50:00Z,074.18,003.74
2019-04-27T05:00:00Z,074.02,003.72
2019-04-27T05:10:00Z,074.97,003.74
2019-04-27T05:20:00Z,076.22,003.78
2019-04-27T05:30:00Z,075.49,003.75
2019-04-27T05:40:00Z,076.37,003.70
2019-04-27T05:50:00Z,078.05,003.72
2019-04-27T06:00:00Z,078.51,003.71
2019-04-27T06:10:00Z,079.39,003.66
2019-04-27T06:20:00Z,078.85,003.66
2019-04-27T06:30:00Z,079.26,003.65
2019-04-27T06:40:00Z,078.47,003.68
2019-04-27T06:50:00Z,080.11,003.73
2019-04-27T07:00:00Z,080.02,003.75
2019-04-27T07:10:00Z,080.63,003.80
2019-04-27T07:20:00Z,079.95,003.79
2019-04-27T07:30:00Z,080.13,003.85
2019-04-27T07:40:00Z,079.72,003.87
2019-04-27T07:50:00Z,079.66,003.91
2019-04-27T08:00:00Z,080.14,003.95
2019-04-27T08:10:00Z,080.50,004.00
2019-04-27T08:20:00Z,080.11,004.03
2019-04-27T08:30:00Z,079.46,004.10
2019-04-27T08:40:00Z,078.54,004.14
2019-04-27T08:50:00Z,078.26,004.19
2019-04-27T09:00:00Z,077.93,004.22
2019-04-27T09:10:00Z,078.52,004.23
2019-04-27T09:20:00Z,078.64,004.25
2019-04-27T09:30:00Z,078.92,004.26
2019-04-27T09:40:00Z,079.16,004.26
2019-04-27T09:50:00Z,078.90,004.28
2019-04-27T10:00:00Z,079.19,004.28
2019-04-27T10:10:00Z,079.36,004.27
2019-04-27T10:20:00Z,079.61,004.26
2019-04-27T10:30:00Z,080.15,004.24
2019-04-27T10:40:00Z,080.55,004.23
2019-04-27T10:50:00Z,080.20,004.24
