sampletime,argosid,latitude,longitude,BP,AT,BV,RH,WS,WD,SR,AZ
2019-01-31 01:00:00,28882.0,,,1011.7647058823527,7.299999999999998,12.0,66.0,0.1,43.76676549484681,0.0,271.07157983905125
2019-01-31 01:10:00,,,,,,,,,,,
2019-01-31 01:20:00,,,,,,,,,,,
2019-01-31 01:30:00,,,,,,,,,,,
2019-01-31 01:40:00,,,,,,,,,,,
2019-01-31 01:50:00,,,,,,,,,,,
2019-01-31 02:00:00,28882.0,,,1011.7647058823527,7.100000000000001,12.0,67.0,1.7,323.3093322038684,0.0,271.07157983905125
2019-01-31 02:10:00,,,,,,,,,,,
2019-01-31 02:20:00,,,,,,,,,,,
2019-01-31 02:30:00,,,,,,,,,,,
2019-01-31 02:40:00,,,,,,,,,,,
2019-01-31 02:50:00,,,,,,,,,,,
2019-01-31 03:00:00,28882.0,,,1011.7647058823527,7.399999999999999,12.0,53.0,1.6,310.6028518989129,0.0,271.07157983905125
2019-01-31 03:10:00,,,,,,,,,,,
2019-01-31 03:20:00,,,,,,,,,,,
2019-01-31 03:30:00,,,,,,,,,,,
2019-01-31 03:40:00,,,,,,,,,,,
2019-01-31 03:50:00,,,,,,,,,,,
2019-01-31 04:00:00,28882.0,,,1011.7647058823527,6.799999999999998,12.0,58.0,2.1,327.5448256388536,0.0,271.07157983905125
2019-01-31 04:10:00,,,,,,,,,,,
2019-01-31 04:20:00,,,,,,,,,,,
2019-01-31 04:30:00,,,,,,,,,,,
2019-01-31 04:40:00,,,,,,,,,,,
2019-01-31 04:50:00,,,,,,,,,,,
2019-01-31 05:00:00,28882.0,,,1011.7647058823527,6.5,12.0,61.0,1.7,320.48566991387827,0.0,271.07157983905125
2019-01-31 05:10:00,,,,,,,,,,,
2019-01-31 05:20:00,,,,,,,,,,,
2019-01-31 05:30:00,,,,,,,,,,,
2019-01-31 05:40:00,,,,,,,,,,,
2019-01-31 05:50:00,,,,,,,,,,,
2019-01-31 06:00:00,28882.0,,,1011.7647058823527,5.700000000000002,12.0,63.0,0.6,290.83721586898207,0.0,271.07157983905125
2019-01-31 06:10:00,,,,,,,,,,,
2019-01-31 06:20:00,,,,,,,,,,,
2019-01-31 06:30:00,,,,,,,,,,,
2019-01-31 06:40:00,,,,,,,,,,,
2019-01-31 06:50:00,,,,,,,,,,,
2019-01-31 07:00:00,,,,,,,,,,,
2019-01-31 07:10:00,,,,,,,,,,,
2019-01-31 07:20:00,,,,,,,,,,,
2019-01-31 07:30:00,,,,,,,,,,,
2019-01-31 07:40:00,,,,,,,,,,,
2019-01-31 07:50:00,,,,,,,,,,,
2019-01-31 08:00:00,,,,,,,,,,,
2019-01-31 08:10:00,,,,,,,,,,,
2019-01-31 08:20:00,,,,,,,,,,,
2019-01-31 08:30:00,,,,,,,,,,,
2019-01-31 08:40:00,,,,,,,,,,,
2019-01-31 08:50:00,,,,,,,,,,,
2019-01-31 09:00:00,,,,,,,,,,,
2019-01-31 09:10:00,,,,,,,,,,,
2019-01-31 09:20:00,,,,,,,,,,,
2019-01-31 09:30:00,,,,,,,,,,,
2019-01-31 09:40:00,,,,,,,,,,,
2019-01-31 09:50:00,,,,,,,,,,,
2019-01-31 10:00:00,,,,,,,,,,,
2019-01-31 10:10:00,,,,,,,,,,,
2019-01-31 10:20:00,,,,,,,,,,,
