time (UTC),max_temperature,min_temperature,mean_temperature,mean_dewpoint,mean SLP,total_solar_radiation,max_uv_index,average speed,average dir,max gust,station_id
2020-08-01 00:00:00-07:00,22.9,11.4,16.2,14.2,1019.2,278577.0,9.6,0.4,74,5.2,tempest
2020-08-02 00:00:00-07:00,25.6,11.0,17.6,14.6,1018.4,417972.0,9.4,0.5,74,5.4,tempest
2020-08-03 00:00:00-07:00,26.6,14.4,18.8,15.9,1020.6,392972.0,9.4,0.6,109,6.0,tempest
2020-08-04 00:00:00-07:00,26.6,12.1,18.1,15.3,1018.0,359755.0,10.2,0.4,82,5.5,tempest
2020-08-05 00:00:00-07:00,25.2,10.6,17.2,13.8,1013.7,407420.0,8.2,0.5,82,6.9,tempest
2020-08-06 00:00:00-07:00,16.1,11.6,14.0,13.3,1014.6,146785.0,9.7,0.4,97,5.3,tempest
2020-08-07 00:00:00-07:00,22.4,10.3,15.2,13.2,1021.0,373630.0,8.8,0.5,78,6.0,tempest
2020-08-08 00:00:00-07:00,19.3,10.7,14.8,13.1,1022.2,221115.0,9.4,0.4,67,7.9,tempest
2020-08-09 00:00:00-07:00,23.7,9.3,15.6,12.3,1024.3,404664.0,8.3,0.4,67,4.9,tempest
2020-08-10 00:00:00-07:00,22.4,10.9,15.3,13.2,1019.2,162729.0,6.9,0.4,93,5.9,tempest
2020-08-11 00:00:00-07:00,22.0,9.6,14.8,12.4,1014.3,365352.0,7.4,0.6,91,6.1,tempest
2020-08-12 00:00:00-07:00,21.2,9.9,14.7,11.1,1017.6,334210.0,10.0,0.5,89,6.8,tempest
2020-08-13 00:00:00-07:00,22.2,7.3,13.7,10.4,1021.1,369289.0,7.5,0.5,94,8.5,tempest
2020-08-14 00:00:00-07:00,25.1,9.5,15.8,12.1,1022.3,379438.0,7.5,0.4,79,6.8,tempest
2020-08-15 00:00:00-07:00,27.7,10.9,18.5,14.5,1016.5,377816.0,7.2,0.4,83,4.6,tempest
2020-08-16 00:00:00-07:00,35.2,13.5,22.6,16.6,1011.9,378024.0,6.7,0.3,77,6.7,tempest
2020-08-17 00:00:00-07:00,28.6,14.4,20.2,15.0,1016.6,365600.0,6.9,0.5,89,6.6,tempest
2020-08-18 00:00:00-07:00,22.8,12.4,16.8,14.1,1018.5,181797.0,9.6,0.4,83,4.4,tempest
2020-08-19 00:00:00-07:00,24.8,12.0,17.9,14.4,1014.3,307262.0,8.2,0.4,73,7.8,tempest
2020-08-20 00:00:00-07:00,23.8,15.3,19.4,15.5,1010.7,264981.0,9.6,0.8,153,6.2,tempest
2020-08-21 00:00:00-07:00,20.4,15.4,18.4,15.6,1009.7,159449.0,7.5,1.0,148,6.6,tempest
2020-08-22 00:00:00-07:00,22.5,11.0,16.0,11.8,1018.9,336130.0,8.0,0.5,91,5.7,tempest
2020-08-23 00:00:00-07:00,23.3,8.7,15.1,11.3,1016.0,354183.0,8.1,0.4,73,8.2,tempest
2020-08-24 00:00:00-07:00,21.9,10.3,14.0,10.6,1015.1,138247.0,7.9,0.3,69,6.8,tempest
2020-08-25 00:00:00-07:00,23.9,8.8,15.2,11.2,1015.4,326548.0,7.4,0.4,70,5.5,tempest
2020-08-26 00:00:00-07:00,23.2,8.8,15.0,11.1,1016.0,330191.0,7.4,0.5,83,5.8,tempest
2020-08-27 00:00:00-07:00,24.8,9.2,15.8,11.9,1016.6,330540.0,7.4,0.4,74,6.0,tempest
2020-08-28 00:00:00-07:00,24.2,11.5,15.7,12.7,1016.9,327373.0,7.7,0.6,109,8.4,tempest
2020-08-29 00:00:00-07:00,20.4,10.2,14.3,10.8,1017.0,246030.0,6.7,0.4,75,6.5,tempest
2020-08-30 00:00:00-07:00,22.0,7.6,13.8,10.2,1020.1,328661.0,6.0,0.5,85,7.0,tempest
2020-08-31 00:00:00-07:00,15.1,10.8,11.7,10.7,1018.8,52899.0,3.7,0.1,50,2.6,tempest
