time (UTC),max_temperature,min_temperature,mean_temperature,station_id
2020-08-01 00:00:00-07:00,25.86,22.9,24.7,channel_rpi
2020-08-02 00:00:00-07:00,26.22,22.8,24.8,channel_rpi
2020-08-03 00:00:00-07:00,27.19,24.1,25.6,channel_rpi
2020-08-04 00:00:00-07:00,27.18,23.8,25.5,channel_rpi
2020-08-05 00:00:00-07:00,26.78,23.4,25.3,channel_rpi
2020-08-06 00:00:00-07:00,24.5,21.9,23.7,channel_rpi
2020-08-07 00:00:00-07:00,24.84,21.7,23.4,channel_rpi
2020-08-08 00:00:00-07:00,24.66,21.7,23.2,channel_rpi
2020-08-09 00:00:00-07:00,25.17,21.3,23.6,channel_rpi
2020-08-10 00:00:00-07:00,27.9,23.9,25.8,channel_rpi
2020-08-11 00:00:00-07:00,25.47,22.4,24.1,channel_rpi
2020-08-12 00:00:00-07:00,24.29,21.3,23.0,channel_rpi
2020-08-13 00:00:00-07:00,24.24,20.9,22.6,channel_rpi
2020-08-14 00:00:00-07:00,26.73,21.0,23.9,channel_rpi
2020-08-15 00:00:00-07:00,27.06,22.6,25.2,channel_rpi
2020-08-16 00:00:00-07:00,29.39,24.6,27.5,channel_rpi
2020-08-17 00:00:00-07:00,30.08,23.9,27.5,channel_rpi
2020-08-18 00:00:00-07:00,25.43,22.6,24.2,channel_rpi
2020-08-19 00:00:00-07:00,26.04,22.4,24.6,channel_rpi
2020-08-20 00:00:00-07:00,25.62,23.8,24.9,channel_rpi
2020-08-21 00:00:00-07:00,26.64,23.8,25.5,channel_rpi
2020-08-22 00:00:00-07:00,27.19,22.7,24.9,channel_rpi
2020-08-23 00:00:00-07:00,26.55,22.4,24.7,channel_rpi
2020-08-24 00:00:00-07:00,27.74,21.9,24.9,channel_rpi
2020-08-25 00:00:00-07:00,26.85,21.6,24.6,channel_rpi
2020-08-26 00:00:00-07:00,,,,channel_rpi
2020-08-27 00:00:00-07:00,,,,channel_rpi
2020-08-28 00:00:00-07:00,,,,channel_rpi
2020-08-29 00:00:00-07:00,,,,channel_rpi
2020-08-30 00:00:00-07:00,,,,channel_rpi
2020-08-31 00:00:00-07:00,23.88,21.4,22.8,channel_rpi
